reviewerID,reviewText,normalized_overall
APYOBQE6M18AA,MY DAUGHTER WANTED THIS BOOK AND THE PRICE ON AMAZON WAS THE BEST SHE HAS ALREADY TRIED ONE RECIPE A DAY AFTER RECEIVING THE BOOK SHE SEEMS HAPPY WITH IT,PERFECT
A1JVQTAGHYOL7F,I BOUGHT THIS ZOKU QUICK POP FOR MY DAUGHTERR WITH HER ZOKU QUICK MAKER SHE LOVES IT AND HAVE FUN TO MAKE HER OWN ICE CREAM,PERFECT
A3UPYGJKZ0XTU4,THERE IS NO SHORTAGE OF POP RECIPES AVAILABLE FOR FREE ON THE WEB BUT I PURCHASED THE ZOKU QUICK POPS BOOK BECAUSE ZOKU HAS SOME GOOD RECIPES FOR FRUIT POPS ON ITS BLOG I WAS HOPING THERE WERE MORE WHERE THOSE CAME FROM THIS BOOK EMPHASIZES VERY SWEET DESSERT POPS HOWEVER THERE ARE RECIPES IN TOTAL ONLY OF WHICH ARE FRUIT POPS THERE IS A FRESH AND FRUITY CHAPTER FOLLOWED BY THREE CHAPTERS OF DESSERT POPS ENTITLED I SCREAM FOR QUICK POPS BAKE SHOP AND COCO LOCO AS YOU MIGHT GUESS FROM THE LAST ONE THERE ARE POP RECIPES THAT CONTAIN CHOCOLATECHAPTERS ON TIPS AND TECHNIQUES ARE USEFUL THERE IS MORE DETAILED INFORMATION ABOUT INGREDIENTS THAT DONT FREEZE WELL IN THE ZOKU THAN IS FOUND IN THE INSTRUCTION MANUAL THE BOOK LISTS OPTIONS FOR DAIRY PRODUCTS AND SWEETENERS TELLS YOU HOW TO DO DIFFERENT TYPES OF LAYERS HOW TO ADD DECORATIVE FRUIT SLICES HOW TO DO A QUICK SHELL AND HOW TO MAKE CORE POPS THE PAGES ABOUT CORE POPS ARE ESPECIALLY HELPFUL AS THEY INCLUDE RECIPES FOR PINK PURPLE AND ORANGE OUTER LAYERS FOR BRIGHTLYCOLORED CORE POPS THE BOOK RECOMMENDS USING ZOKU ACCESSORY KITS BUT YOU CAN DO WITHOUTTHE POP RECIPES TEND TO GO OUT OF THEIR WAY TO BE AS SWEET AS POSSIBLE MANY INCLUDING THE RECIPE FOR A VANILLA BASE CALL FOR VANILLA PUDDING WHERE VANILLA GREEK YOGURT WOULD DO JUST AS WELL IVE SUBSTITUTED IT WITH NO ILL EFFECT ON THE BRIGHT SIDE MANY OF THESE RECIPES MAY APPEAL TO CHILDREN WHEREAS MOST POP BOOKS THAT I HAVE SEEN ARE GEARED MORE TO ADULTS THERE ARE FLAVORS LIKE COOKIE DOUGH THATS A SMORE CHOCOLATE PEANUT BUTTER AND PEANUT BUTTER AND JELLY ALL RECIPES IN BAKE SHOP ARE INSPIRED BY CAKE AND COOKIE RECIPESAS A RESOURCE FOR LIGHT FRESHTASTING FRUIT POP RECIPES ZOKU QUICK POPS IS VERY LIMITED MOST OF THE FRUIT RECIPES ARE GIMMICKY AND CONTAIN TOO MANY INGREDIENTS THE RECIPE FOR LEMONADE POPS CONTAINS ORANGE JUICE WHICH IS FINE BUT THE ADDITION OF VANILLA EXTRACT KILLS THE FRESH FRUIT FLAVOR THE RECIPE FOR MANGO POPS INCLUDES ORANGE APPLE BANANA AND LEMON WHICH ARE TOO MANY COMPETING FLAVORS MANGO AND ORANGE TOGETHER MAKE A TERRIFIC POP THE BOOK IS GREAT FOR CHOCOLATE LOVERS AND THOSE LOOKING FOR DESSERT POP RECIPES TIPS AND TECHNIQUES ARE ALSO USEFUL FOR FRUIT POP RECIPES TOP POPS BY EMILY ZAIDEN IS FAR BETTER,NOTPERFECT
A2MHCTX43MIMDZ,THIS BOOK IS A MUST HAVE IF YOU GET A ZOKU WHICH I ALSO HIGHLY RECOMMEND THERE IS A LARGE VARIETY OF RECIPES FROM SIMPLE TO FANCY THE FLAVOR COMBOS ARE CREATIVE AND IT GIVES YOU IDEAS FOR DECORATING THE POPS TOO THEY TURN OUT AS BEAUTIFUL AS THEY ARE TASTY AFTER READING IT YOU WILL BE INSPIRED TO CREATE YOUR OWN RECIPES TOO,PERFECT
AHAI85T5C2DH3,THIS COOKBOOK IS GREAT I HAVE REALLY ENJOYED REVIEWING ALL OF THE RECIPES SURE SOME ARE MORE DIFFICULT THAN OTHERS BUT THERE IS A NICE VARIETY IN THIS BOOK FOR ME IT WAS TOTALLY WORTH IT JUST TO GET THE QUICK SHELL RECIPES ALONE WE HAVE ONLY TRIED THE CHOCOLATE SO FAR BUT IT IS SO TASTY A FEW OF MY FAVORITE RECIPES IN THIS BOOK ARE THE BANANA FROM THE STRAWBERRY BANANA ONE AND THE RASPBERRYBLACKBERRY ONES BUT I USED MIXED BERRIES ALSO IT HAS GREAT INSTRUCTIONS FOR TIPS ON USING THE ZOKU DEFINITELY RECOMMENDED,NOTPERFECT
AXA9EVY6IJIZ5,IF YOU HAVE A ZOKU QUICK POP MAKER OR TWOI HAVE THE ORIGINAL ONESLOT AND THEN I BOUGHT THE DOUBLESLOT HERE AT AMAZON I RECOMMEND YOU GET THIS CREATIVE LITTLE BOOK WHICH WILL INSPIRE YOU,PERFECT
A1SW2D234X11MS,THIS BOOK IS SO BEAUTIFULLY ILLUSTRATED AND EASY TO FOLLOW IT HELPS YOU TO UNDERSTAND THE ZOKU BETTER IT MIGHT HAVE BEEN EVEN BETTER IF THEY MADE THE RECIPE UNITS FOR DIFFERENT SIZED MOLDS THESE RECIPES PRODUCE TOO MUCH FOR A SINGLE MOLD UNIT IT WOULD HAVE BEEN NICE IF THEY USED A MATRIX FOR THE INGREDIENTS LIKE ON A BOX OF RICE I AM JUST MATH LAZY AND BOUGHT A SINGLE MOLD ZOKU DIVIDING OF A CUP TABLESPOONS OR TABLESPOONS IS KIND OF DICEY IN MY KITCHEN,PERFECT
A1ZH5ULI4SBO48,I BOUGHT THIS WHEN I BOUGHT THE POP MAKER I THINK THE RECIPES ARE FINE BUT THERE REALLY ISNT MUCH IN THE BOOK I WOULDNT HAVE FIGURED OUT MYSELFA COUPLE OF GOOD CREAMY RECIPES THAT ARE NOW AVAILABLE FOR FREE ON RECIPE WEBSITES AS FOR POP EMBELLISHING WELL THAT WASNT TOO HARD TO FIGURE OUT EITHER ID SAVE THE MONEY AND SPEND IT INSTEAD ON EXTRA POP STICKS WHICH SEEM TO DISAPPEAR THE WAY SOCKS DO,NOTPERFECT
A1V13XAWO98C1J,THE ZOKU ACCESSORIES ARE PRICEY BUT THE RECIPES HAVE THE EXACT AMOUNT YOU NEED TO MAKE THE POPS I HAVE MADE IT THROUGH VARIETIES SO FAR AND I LIKE THEM ALL,PERFECT
A3842PXNQ1QRM9,HIGH QUALITY BOOK CLEAR AND HELPFUL INFORMATION AND THEN SOME SUPERB RECIPE SUGGESTIONS CLEARLY OUTLINED I CAN HIGHLY RECOMMEND THIS PRODUCT,PERFECT
